登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説,通算チェック回数,最終チェック日時
E28002,1,10,dramatic,形容詞,劇的な、著しい,sudden and very noticeable,The graph shows a dramatic fall in bird populations after the wetland was drained.,そのグラフは湿地が干拓された後の鳥の個体数の劇的な減少を示している。,副詞 dramatically は数値変化の説明で頻出する。「演劇の」の意味もある。,0,
E28003,1,10,dust,名詞,ちり、粉塵,very small dry particles that float in the air,Dust from distant deserts fertilizes rain forests thousands of kilometers away.,遠い砂漠からのちりは数千キロ離れた熱帯雨林を肥やす。,不可算名詞である。天文学では宇宙塵として cosmic dust の形で出る。,0,
E28004,1,10,evolution,名詞,進化,the slow change of living things over many generations,Evolution acts on populations rather than on single individuals over long spans of time.,進化は長い時間をかけて個体ではなく集団に作用する。,動詞は evolve である。「発展、変遷」の意味で技術史にも使われる。,0,
E28005,1,10,in the name of,熟語,～の名のもとに,using something as a reason or authority for an action,Many forests were cleared in the name of progress during the last century.,前世紀には多くの森林が進歩の名のもとに切り開かれた。,批判的な文脈で使われることが多い。「～の名義で」の意味もある。,0,
E28006,1,10,inspiration,名詞,着想、ひらめき,something that gives someone a good idea,The structure of the wing provided the inspiration for a new type of aircraft.,翼の構造が新しい種類の航空機の着想を与えた。,動詞は inspire である。draw inspiration from ~ の形でよく使う。,0,
E28007,1,10,institution,名詞,機関、制度,a large organization or an established custom in society,Universities are institutions that both preserve knowledge and produce new research.,大学は知識を保存し、新しい研究を生み出す両方を行う機関である。,「機関」と「社会制度」の両方の意味がある。形容詞は institutional。,0,
E28008,1,10,memorial,名詞,記念碑,a structure built so that people remember a person or event,The memorial lists the names of the scientists lost during the polar expedition.,その記念碑は極地探検で亡くなった科学者の名前を列挙している。,形容詞では「記念の」の意味になる。monument とほぼ同じ働きをする。,0,
E28009,1,10,minority,名詞,少数、少数派,"the smaller part of a group, or a small group within a society",Only a minority of the samples contained pollen from trees rather than grasses.,試料のうち少数だけが草ではなく樹木の花粉を含んでいた。,反意語は majority である。集合名詞なので複数扱いになることもある。,0,
E28010,1,10,play a part in,熟語,一因となる、役割を果たす,to be one of the things that cause or influence a result,Ocean currents play a part in shaping the climate of many coastal regions.,海流は多くの沿岸地域の気候を形づくる一因となっている。,play a role in とほぼ同じ意味で、学術文では原因や要因を控えめに示すときに使われる。,0,
E28011,1,10,play down,句動詞,軽く見せる、控えめに言う,to make something seem less important or serious than it really is,The researcher played down the significance of a single result from one trial.,その研究者は一回の試行から得た単一の結果の重要性を控えめに述べた。,反対の意味は play up や exaggerate で、講義では慎重な態度を示す表現として登場する。,0,
E28012,1,10,priority,名詞,優先事項、優先度,something that is more important than other things and must be dealt with first,Reducing measurement error was the highest priority in the second phase of the study.,測定誤差を減らすことがその研究の第二段階での最優先事項だった。,give priority to や top priority の形が多く、TOEIC では予算や日程の議論で頻出する。,0,
E28013,1,10,promotion,名詞,昇進、促進、販売促進,the act of raising someone to a higher position or of helping something grow,The lecture examined the promotion of literacy in nineteenth century rural communities.,その講義は十九世紀の農村社会における識字の促進を検討した。,昇進の意味と促進の意味があり、学術文では後者、TOEIC では前者と販促の意味が多い。,0,
E28014,1,10,remote,形容詞,遠隔の、人里離れた,"far away from other places, people, or things",Astronomers use large telescopes to observe remote galaxies at the edge of the universe.,天文学者は大型望遠鏡を使って宇宙の果てにある遠方の銀河を観測する。,距離だけでなく remote possibility のように可能性が薄いことにも使える。,0,
E28015,1,10,repair,動詞,修理する、修復する,to fix something that is broken or damaged,Cells can repair damaged DNA using several enzyme systems described in this chapter.,細胞は本章で述べる複数の酵素系を用いて損傷したDNAを修復できる。,生物学では損傷の修復、工学では機械の修理を指し、名詞としても同じ形で使う。,0,
E28016,1,10,root,名詞,根、根源,"the part of a plant that grows under the ground, or the origin of something",Deep roots allow desert plants to reach water stored far below the dry surface.,深い根のおかげで砂漠の植物は乾いた地表のはるか下にある水に届く。,植物の根のほか、the root of the problem のように問題の根源にも使う。,0,
E28017,1,10,abandoned,形容詞,見捨てられた、放棄された,left completely and no longer used or cared for,Archaeologists excavated an abandoned settlement that had been buried by volcanic ash.,考古学者たちは火山灰に埋もれた放棄された集落を発掘した。,動詞 abandon の過去分詞から生まれた形容詞で、遺跡や建物の描写でよく使われる。,0,
E28018,1,10,alliance,名詞,同盟、提携,an agreement between countries or groups to work together,The two city states formed an alliance to defend their trade routes from raiders.,その二つの都市国家は交易路を襲撃者から守るために同盟を結んだ。,form や enter into と結びつきやすく、歴史の講義では政治的同盟の話題で頻出する。,0,
E28019,1,10,conclusion,名詞,結論、終わり,a decision or judgment reached after thinking about the evidence,The authors reached the conclusion that soil quality declined after repeated harvests.,著者らは繰り返しの収穫のあとで土壌の質が低下したという結論に達した。,draw や reach と結びつき、in conclusion は文章をまとめる合図として使われる。,0,
E28020,1,10,confirm,動詞,確認する、裏づける,to show that something is true or correct,Later experiments confirmed that the compound slows the growth of the bacteria.,その後の実験はその化合物が細菌の増殖を遅らせることを裏づけた。,学術文では仮説やデータの裏づけ、TOEIC では予約や日程の確認の意味で出る。,0,
E28021,1,10,crystal,名詞,結晶、水晶,a solid substance whose atoms are arranged in a regular repeating pattern,Slow cooling of the melted rock allowed large crystals to form inside the chamber.,溶けた岩がゆっくり冷えたことで、その岩室の内部に大きな結晶ができた。,地学や化学で頻出し、crystallize は結晶化するほか考えがまとまる意味にもなる。,0,
E28022,1,10,decline,動詞,減少する、断る,"to become smaller or weaker, or to politely refuse something",Bird populations declined sharply after the wetland was drained for farming.,その湿地が農業のために干拓されたあと、鳥の個体数は急激に減少した。,グラフの説明では減少、招待や申し出には断るの意味で、名詞でも同じ形を使う。,0,
E28023,1,10,delay,動詞,遅らせる、延期する,to make something happen later than planned,Heavy rainfall delayed the excavation of the site by nearly three weeks.,大雨のためにその遺跡の発掘は三週間近く遅れた。,名詞では without delay がよく使われ、TOEIC では出荷や便の遅れで頻出する。,0,
E28024,1,10,desert,名詞,砂漠,a large dry area of land where very little rain falls,Few plants survive in the desert because the soil holds almost no moisture.,土壌がほとんど水分を保たないため、砂漠で生き延びる植物は少ない。,発音とつづりが似た dessert は食後のデザートで、名詞と動詞ではアクセント位置が変わる。,0,
E28025,1,10,downtown,名詞,中心街、繁華街,the central business area of a city,Surveys showed that downtown lost residents as new suburbs expanded after the war.,調査によると、戦後に新しい郊外が広がるにつれて中心街は住民を失った。,副詞として go downtown のようにも使え、都市地理の講義で郊外との対比で出る。,0,
E28026,1,10,elite,名詞,エリート層、精鋭,"a small group of people with the most power, wealth, or skill",A narrow elite controlled most of the land in the early agricultural empires.,初期の農業帝国では、少数のエリート層が土地の大半を支配していた。,形容詞としても使え、歴史や社会学の講義では支配層を指す中立的な語として現れる。,0,
E28027,1,10,layer,名詞,層,a single thickness of material lying over or under another,Each layer of sediment records the environmental conditions of a different period.,堆積物のそれぞれの層は異なる時代の環境条件を記録している。,地学の地層のほか、a layer of air のように大気や細胞の構造にも使われる。,0,
E28028,1,10,obtain,動詞,得る、入手する,"to get something, often by effort or by a formal process",Researchers obtained tissue samples from three sites along the northern coastline.,研究者たちは北部の海岸線沿いの三か所から組織の試料を入手した。,get の硬い言い換えで、論文の方法の説明で obtain data や obtain permission が定番。,0,
E28029,1,10,organic,形容詞,有機の、有機栽培の,related to living things or to compounds containing carbon,Organic matter in the soil slowly releases nutrients that young plants can absorb.,土壌中の有機物は幼い植物が吸収できる養分をゆっくりと放出する。,化学では炭素化合物、農業では化学肥料を使わない栽培を指すので文脈で判断する。,0,
E28030,1,10,ownership,名詞,所有、所有権,"the state of owning something, or the right to own it",Changes in land ownership reshaped village life throughout the eighteenth century.,土地所有の変化は十八世紀を通じて村の暮らしを作り変えた。,public ownership や ownership rights の形で、経済史や法律の講義に多く登場する。,0,
E28031,1,10,poetry,名詞,詩、詩歌,writing in verse form that uses rhythm and imagery to express feeling,The seminar compared epic poetry from two cultures separated by several centuries.,そのゼミは数世紀隔たった二つの文化の叙事詩を比較した。,不可算名詞で作品全体を指し、一編の詩は poem、詩人は poet と使い分ける。,0,
E28032,1,10,recall,動詞,思い出す、回収する,"to remember something, or to ask for a product to be returned",Participants were asked to recall the word lists after a delay of ten minutes.,参加者は十分の間隔をおいたあとで単語リストを思い出すよう求められた。,心理学の記憶実験で頻出し、TOEIC では欠陥製品の回収の意味でも出題される。,0,
E28033,1,10,smooth,形容詞,滑らかな、円滑な,having an even surface without rough parts or sudden changes,Glaciers leave smooth rock surfaces where they slowly grind away the bedrock.,氷河は基盤岩をゆっくり削るところに滑らかな岩面を残す。,表面の性質のほか、a smooth transition のように過程が円滑であることにも使う。,0,
E28034,1,10,to name a few,慣用句,いくつか挙げると,used after examples to show that there are many more,"Iron, copper, and zinc, to name a few, are essential to human metabolism.",いくつか挙げると鉄、銅、亜鉛は人間の代謝に不可欠である。,例を三つほど並べた直後に置き、他にも多くあることを示す学術文らしい締め方。,0,
E28035,1,10,a set of,熟語,一組の、一連の,a group of similar things that belong together,The team applied a set of strict criteria before including any study in the review.,その班はどの研究をレビューに含めるかを決める前に一連の厳しい基準を適用した。,rules や data と結びつきやすく、数えにくい概念をまとめて数えるときに便利な表現。,0,
E28036,1,10,associate,動詞,関連づける、結びつける,to connect one thing with another in your mind or in analysis,Scientists associate the sudden warming with a rise in volcanic activity.,科学者たちはその急な温暖化を火山活動の増加と関連づけている。,associate A with B の形が基本で、名詞では同僚や准の意味になり発音も変わる。,0,
E28037,1,10,bench,名詞,ベンチ、作業台,"a long seat, or a long table used for laboratory or workshop tasks",Students prepared the slides at the laboratory bench before viewing them under microscopes.,学生たちは顕微鏡で見る前に実験台でスライドを用意した。,公園の長椅子のほか、実験台の意味があり、the bench は裁判官の席も指す。,0,
E28038,1,10,citizen,名詞,市民、国民,a person who legally belongs to a particular country or city,In classical Athens only a limited group of adult men counted as citizens.,古典期のアテネでは成人男性の限られた集団だけが市民とみなされた。,citizenship は市民権で、歴史や政治の講義では権利や義務の話題とともに出る。,0,
E28039,1,10,compete,動詞,競争する、張り合う,to try to win or to get something that others also want,Seedlings compete for light and water in the dense shade of the forest floor.,若木は森林の林床の濃い日陰の中で光と水を求めて競い合う。,compete with や compete for の形をとり、生態学では資源をめぐる競争を表す。,0,
E28040,1,10,discover,動詞,発見する,to find something that was not known about before,Geologists discovered a fault line running beneath the sediment of the valley.,地質学者たちはその谷の堆積物の下を走る断層線を発見した。,invent は新しく作ること、discover はもともとあったものを見つけることを指す。,0,
E28041,1,10,equally,副詞,等しく、同様に,"to the same degree, or in the same way","Both theories explain the observations equally well, so further evidence is needed.",どちらの理論も同じくらいよく観測結果を説明するので、さらなる証拠が必要である。,equally important のように比較の均衡を示し、as とは重ねて使わない点に注意する。,0,
E28042,1,10,intense,形容詞,激しい、強烈な,"very strong, great, or extreme in degree",Intense heat near the core melts the surrounding rock into a thick liquid.,核の近くの激しい熱は周囲の岩を粘り気のある液体へと溶かす。,intensive は集中的なという意味で用途が異なり、学術文では程度の強さに intense を使う。,0,
E28043,1,10,liquid,名詞,液体,"a substance that flows freely, like water, and is neither solid nor gas","Water is the only common substance found as solid, liquid, and gas on Earth.",水は地球上で固体、液体、気体として見られる唯一の身近な物質である。,solid や gas と並べて物質の三態を説明する場面が多く、形容詞としても使える。,0,
E28044,1,10,mortgage,名詞,住宅ローン、抵当,"a loan from a bank used to buy property, with the property as security",Economists studied how mortgage lending affected housing prices during the last decade.,経済学者たちは住宅ローンの貸し出しが過去十年の住宅価格にどう影響したかを研究した。,つづりの t は発音せず、経済の講義や TOEIC の金融の話題で登場する。,0,
E28045,1,10,narrative,名詞,物語、語り,a spoken or written account of connected events,The historian questioned the traditional narrative of a sudden and total collapse.,その歴史学者は突然かつ完全な崩壊という従来の物語に疑問を投げかけた。,story より硬い語で、文学や歴史の講義では出来事の語り方そのものを指すことが多い。,0,
E28046,1,10,narrow,形容詞,狭い、限られた,"small in width, or limited in range",A narrow strip of fertile land followed the river through the dry plateau.,乾いた台地を貫く川に沿って、細長い肥沃な土地の帯が続いていた。,幅の狭さのほか、a narrow definition のように範囲の限定にも使い、対義語は broad。,0,
E28047,1,10,occasionally,副詞,たまに、時折,sometimes but not often,Severe droughts occasionally interrupted the long period of stable rainfall.,厳しい干ばつが、降雨の安定した長い期間を時折さえぎった。,頻度は sometimes よりやや低く、rarely より高い程度を表す中立的な副詞。,0,
E28048,1,10,physics,名詞,物理学,"the science of matter, energy, motion, and force",Modern physics describes light as behaving both like a wave and like a particle.,現代の物理学は光が波のようにも粒子のようにもふるまうと説明する。,語尾が s でも単数扱いで、physics is の形になる点が試験で狙われやすい。,0,
E28049,1,10,potentially,副詞,潜在的に、可能性として,in a way that could happen or become true in the future,The newly identified compound is potentially useful for treating certain viral infections.,新しく特定されたその化合物は特定のウイルス感染の治療に役立つ可能性がある。,断定を避ける学術的な表現で、potentially harmful のように形容詞の前に置く。,0,
E28050,1,10,reduction,名詞,削減、減少,"the act of making something smaller in size, amount, or degree",A steady reduction in forest cover followed the expansion of farmland in the region.,その地域では農地の拡大に続いて森林被覆の着実な減少が起きた。,a reduction in の形が基本で、of を使うと割合ではなく対象を示す点に注意する。,0,
E28051,1,10,reflect,動詞,反映する、反射する,"to show or express something, or to send back light or heat",Snow reflects most of the sunlight that reaches the polar ice sheets.,雪は極域の氷床に届く日光の大半を反射する。,光の反射と、実態を映し出すという比喩の両方で使い、reflect on は熟考する意味。,0,
E28052,1,10,resource,名詞,資源、財源,"a supply of money, materials, or natural things that can be used",Fresh water is a limited resource in regions that depend on melting snow.,雪解け水に頼る地域では淡水は限りある資源である。,natural resources や human resources の形で複数形にすることが多い。,0,
E28053,1,10,set out to,熟語,～しようと着手する,to begin doing something with a clear purpose in mind,The team set out to measure how quickly the glacier retreated each summer.,その班は氷河が毎年の夏にどれほど速く後退するかを測定しようと着手した。,後ろには動詞の原形が来て、論文の目的を述べる導入部でよく用いられる。,0,
E28054,1,10,shell,名詞,殻、貝殻,"the hard outer covering of an egg, a nut, or a sea animal",Fossil shells in the cliff show that the area was once under shallow water.,崖の中の貝の化石はその地域がかつて浅い海の底だったことを示している。,化学や物理では electron shell が電子殻を指し、分野によって訳が変わる。,0,
E28055,1,10,subsequent,形容詞,その後の、続いて起こる,coming after something else in time,Subsequent studies confirmed the pattern that the first survey had suggested.,その後の研究は最初の調査が示した傾向を裏づけた。,previous の反対で、subsequent to は after の硬い言い換えとして使われる。,0,
E28056,1,10,translation,名詞,翻訳、訳文,the process of changing words from one language into another,Much of the classical text survives only in an Arabic translation made centuries later.,その古典の多くは数世紀後に作られたアラビア語訳としてのみ現存している。,生物学では遺伝情報からタンパク質を作る過程も translation と呼ぶ。,0,
E28057,1,10,visible,形容詞,目に見える、明らかな,able to be seen,Only a narrow band of the electromagnetic spectrum is visible to the human eye.,電磁スペクトルのうちごく狭い帯だけが人間の目に見える。,visible to のあとに見る主体が来て、対義語は invisible、名詞は visibility。,0,
E28058,1,10,amendment,名詞,修正、改正,"a change made to a law, rule, or document",The amendment extended voting rights to a much larger part of the population.,その改正は投票権を人口のはるかに広い層へと拡大した。,法や規約の正式な変更を指し、動詞は amend で、政治史の講義で頻出する。,0,
E28059,1,10,angle,名詞,角度、観点,"the space between two lines that meet, measured in degrees",The angle at which sunlight strikes the surface determines how much heat is absorbed.,日光が地表に当たる角度が、どれだけの熱が吸収されるかを決める。,幾何の角度のほか、from a different angle のように見方や観点も表す。,0,
E28060,1,10,commonly,副詞,一般に、よく,often or usually,This mineral is commonly found in rocks that formed under high pressure.,この鉱物は高い圧力のもとで形成された岩石によく見られる。,commonly used や commonly known as の形で、一般的な傾向を述べるときに使う。,0,
E28061,1,10,connect,動詞,つなぐ、関連づける,"to join two things together, or to show a link between them",The canal connected two river systems that had long been separated by hills.,その運河は長らく丘に隔てられていた二つの水系をつないだ。,connect A to B や connect A with B の形をとり、名詞は connection。,0,
E28062,1,10,efficiency,名詞,効率、能率,"the quality of working well without wasting time, energy, or materials","The engine converts only part of the fuel into motion, which limits its efficiency.",そのエンジンは燃料の一部しか運動に変えないため、効率が制限される。,energy efficiency の形が学術文に多く、形容詞は efficient、副詞は efficiently。,0,
E28063,1,10,enterprise,名詞,企業、事業,"a company or a large project, especially one that involves risk",Building the observatory was a costly enterprise that took more than a decade.,その天文台の建設は十年以上を要した費用のかかる事業だった。,会社そのものと、大胆な試みの両方を指し、TOEIC では企業の意味で使われる。,0,
E28064,1,10,experiment,名詞,実験,a scientific test done to discover something or to check an idea,The experiment showed that seedlings grew faster under blue light than under red.,その実験は若木が赤い光より青い光のもとで速く育つことを示した。,conduct や carry out と結びつき、動詞では experiment with の形をとる。,0,
E28065,1,10,hence,副詞,それゆえ、したがって,"for this reason, or from this time",The sample was contaminated and hence the results cannot be treated as reliable.,試料が汚染されていたので、したがってその結果は信頼できるものとして扱えない。,therefore の硬い言い換えで、学術論文の論理の展開に多く現れる。,0,
E28066,1,10,increasingly,副詞,ますます、次第に,more and more over time,Farmers became increasingly dependent on irrigation as the summers grew drier.,夏が乾燥するにつれて、農民はますます灌漑に頼るようになった。,形容詞や副詞の前に置いて程度の高まりを表し、論文の傾向の説明に多い。,0,
E28067,1,10,mill,名詞,製粉所、工場,a building with machinery for grinding grain or making materials,Water powered mills stood along the river and ground grain for the whole valley.,水力の製粉所が川沿いに並び、谷全体のために穀物をひいていた。,産業史の講義では textile mill や steel mill のように工場の意味でも使われる。,0,
E28068,1,10,possession,名詞,所有、所有物,the state of having or owning something,Written records show that possession of iron tools spread slowly across the region.,文書記録は鉄の道具の所有がその地域にゆっくり広まったことを示している。,in possession of は所有している状態を表し、複数形では持ち物を指す。,0,
E28069,1,10,rapid,形容詞,急速な、速い,happening or moving very quickly,Rapid population growth placed heavy pressure on the limited water supply.,急速な人口増加は限られた水の供給に大きな負担をかけた。,fast より書き言葉的で、rapid change や rapid growth の形で学術文に頻出する。,0,
E28070,1,10,regulation,名詞,規制、規則,"an official rule, or the act of controlling something",Temperature regulation allows mammals to stay active in a wide range of climates.,体温の調節のおかげで哺乳類は幅広い気候の中で活動を続けられる。,法律の規制と、生体の調節の両方を指し、動詞は regulate で分野により訳が変わる。,0,
E28071,1,10,resident,名詞,居住者、住民,a person who lives in a particular place,Residents of the valley recorded the flood levels for more than a century.,その谷の住民は百年以上にわたって洪水の水位を記録し続けた。,形容詞では常駐のという意味になり、resident population は定住人口を指す。,0,
E28072,1,10,suitable,形容詞,適した、ふさわしい,right or appropriate for a particular purpose or situation,Shallow warm water is suitable for the growth of these coral colonies.,浅くて暖かい水はこれらのサンゴ群体の成長に適している。,suitable for のあとに目的が来て、appropriate とほぼ同じように使える。,0,
E28073,1,10,valid,形容詞,妥当な、有効な,"based on good reasoning or evidence, or legally acceptable",The argument is valid only if the sample truly represents the whole population.,その議論は標本が全体の母集団を本当に代表している場合にのみ妥当である。,学術文では論理や結論の妥当性、TOEIC ではチケットや契約の有効性を表す。,0,
E28074,1,10,vital,形容詞,極めて重要な、生命の,extremely important or necessary for life or success,Sunlight is vital to the process by which plants build sugars from carbon dioxide.,日光は植物が二酸化炭素から糖を作る過程にとって極めて重要である。,essential とほぼ同じ意味で、vital organs のように生命に関わる意味も持つ。,0,
E28075,1,10,agriculture,名詞,農業,the practice of growing crops and raising animals for food,The shift to agriculture allowed communities to settle permanently near fertile river valleys.,農業への移行によって共同体は肥沃な河谷の近くに定住できるようになった。,形容詞は agricultural で、歴史や地理の講義では狩猟採集との対比で語られる。,0,
E28076,1,10,collect,動詞,集める、収集する,to bring things together from different places,Field teams collected rainfall data from twenty stations across the mountain range.,現地の班はその山脈一帯の二十か所の観測点から降雨のデータを集めた。,gather とほぼ同義だが、体系的に集める場面では collect が選ばれやすい。,0,
E28077,1,10,commerce,名詞,商業、通商,"the buying and selling of goods, especially between countries",Maritime commerce linked distant ports long before the invention of the steam engine.,海上の通商は蒸気機関の発明よりずっと前から遠く離れた港を結んでいた。,trade より硬い語で、形容詞 commercial は商業的なという意味で広く使われる。,0,
E28078,1,10,creek,名詞,小川、入り江,"a small stream, or a narrow inlet of the sea",The survey traced a creek that carried sediment down into the shallow bay.,その調査は堆積物を浅い湾へと運ぶ小川をたどった。,米国では小川、英国では入り江を指すことが多く、地形の説明で使い分けに注意する。,0,
E28079,1,10,currency,名詞,通貨,the system of money used in a particular country,A stable currency helped merchants trade across borders without constant renegotiation.,安定した通貨は商人が絶えず交渉し直すことなく国境を越えて取引する助けとなった。,foreign currency の形が多く、比喩的に広く通用していることも表す。,0,
E28080,1,10,exhibition,名詞,展示、展覧会,"a public show of art, objects, or products",The museum organized an exhibition of tools recovered from the riverbed site.,その博物館は川床の遺跡から回収された道具の展示を企画した。,英国では exhibition、米国では exhibit も同じ意味で使い、動詞は exhibit。,0,
E28081,1,10,fraud,名詞,詐欺、不正,the crime of deceiving people in order to gain money or advantage,The journal withdrew the paper after an inquiry found evidence of scientific fraud.,調査で科学的不正の証拠が見つかったあと、その学術誌は論文を撤回した。,研究不正にも金銭の詐欺にも使い、形容詞 fraudulent は不正なという意味。,0,
E28082,1,10,genuine,形容詞,本物の、真の,real and exactly what it appears to be,Careful dating showed that the manuscript was genuine rather than a later copy.,丁寧な年代測定はその写本が後代の複製ではなく本物であることを示した。,fake や counterfeit の反対で、感情について使うと心からのという意味になる。,0,
E28083,1,10,hunter,名詞,狩人、捕食者,a person or animal that chases and kills others for food,Early hunters followed migrating herds across the plains for much of the year.,初期の狩人たちは一年の多くを移動する群れを追って平原を渡って過ごした。,hunter gatherer は狩猟採集民を指し、人類学の講義で頻出する複合語である。,0,
E28084,1,10,introduce,動詞,導入する、紹介する,"to bring something into use for the first time, or to present someone",Settlers introduced species that soon displaced many of the native plants.,入植者たちが持ち込んだ種はまもなく在来の植物の多くを追いやった。,生態学では外来種の持ち込み、講義では新しい概念の導入の意味でよく出る。,0,
E28085,1,10,legacy,名詞,遺産、遺物,something handed down from earlier generations or from the past,Roman road building left a legacy that shaped European travel for centuries.,ローマの道路建設は何世紀にもわたってヨーロッパの往来を形づくる遺産を残した。,文化的な影響を指すことが多く、遺跡そのものは heritage や remains と呼ぶ。,0,
E28086,1,10,merely,副詞,単に、ほんの,"only, and nothing more","The map was merely a sketch, so it cannot support precise measurements today.",その地図は単なる略図だったので、今日の正確な測定の根拠にはならない。,just の硬い言い換えで、動詞や名詞の前に置いて重要でないことを示す。,0,
E28087,1,10,monitor,動詞,監視する、観測する,to watch and check something regularly over a period of time,Satellites monitor the thickness of sea ice throughout the long polar winter.,衛星は長い極域の冬を通して海氷の厚さを観測している。,名詞では画面や監視装置を指し、論文では継続的な観測を表す動詞として多い。,0,
E28088,1,10,ratio,名詞,比、比率,"the relationship between two amounts, showing how many times one contains the other",The ratio of oxygen isotopes in the ice reveals past air temperatures.,氷の中の酸素同位体の比は過去の気温を明らかにする。,the ratio of A to B の形が定番で、percentage や proportion と区別して使う。,0,
E28089,1,10,remind,動詞,思い出させる、注意する,to make someone remember something they must do or know,The instructor reminded students that correlation alone does not establish a causal link.,指導教員は相関だけでは因果関係を立証できないと学生たちに注意した。,remind A of B と remind A that の二つの形があり、TOEIC の会話で頻出する。,0,
E28090,1,10,reverse,動詞,逆にする、覆す,to change something to the opposite of what it was,Conservation efforts partly reversed the decline of the wetland bird population.,保護の取り組みは湿地の鳥の個体数の減少を部分的に食い止め逆転させた。,名詞や形容詞にもなり、in reverse order は逆の順序でという意味になる。,0,
E28091,1,10,routine,名詞,日課、決まった手順,a regular way of doing things in the same order,The laboratory follows a strict routine for calibrating instruments before each session.,その研究室は各回の作業の前に機器を較正する厳格な手順に従っている。,形容詞では routine check のように日常的で特別でないという意味になる。,0,
E28092,1,10,seed,名詞,種、種子,the small hard part of a plant from which a new plant grows,Some seeds remain dormant in the soil for decades until conditions improve.,一部の種子は条件がよくなるまで何十年も土の中で休眠したままである。,比喩で the seeds of change のように物事の始まりを表すこともある。,0,
E28093,1,10,settle,動詞,定住する、解決する,"to make a home in a place, or to bring a dispute to an end",Farming groups settled along the delta where floods renewed the soil each year.,洪水が毎年土を新しくするその三角州沿いに農耕集団が定住した。,定住のほか、settle a dispute のように争いを決着させる意味でも使う。,0,
E28094,1,10,spell,動詞,つづる、意味する,to write or say the letters of a word in the correct order,Scribes did not always spell the same name in a consistent way.,書記たちは必ずしも同じ名前を一貫したつづりで書いたわけではなかった。,名詞では a spell of dry weather のように一時期を指す用法もある。,0,
E28095,1,10,summary,名詞,要約、概要,a short account giving the main points of something,The chapter ends with a summary of the evidence for continental drift.,その章は大陸移動を支持する証拠の要約で終わっている。,in summary は結論を導く合図で、動詞は summarize、形容詞は brief などと結びつく。,0,
E28096,1,10,survival,名詞,生存、生き残ること,"the state of continuing to live or exist, especially after difficulty",Thick fur improves the survival of these mammals through long arctic winters.,厚い毛皮は長い北極の冬を通じてこれらの哺乳類の生存率を高める。,survival rate や survival of the fittest の形で生物学の講義に頻出する。,0,
E28097,1,10,tongue,名詞,舌、言語,"the soft movable part inside the mouth, or a language",The shape of the tongue affects which speech sounds a language can produce.,舌の形はある言語がどの音声を出せるかに影響する。,mother tongue は母語を指し、言語学の講義では比喩的な用法も出てくる。,0,
E28098,1,10,ward,名詞,病棟、区,"a section of a hospital, or an administrative district of a city",Patients in the isolation ward were observed for two weeks after exposure.,隔離病棟の患者は感染の可能性がある接触のあと二週間観察された。,行政区の意味もあり、動詞句 ward off は防ぐという別の意味になる。,0,
E28099,1,10,achievement,名詞,業績、達成,something important that has been done successfully through effort,Mapping the human genome was a remarkable achievement of international cooperation.,ヒトゲノムの解読は国際協力の目覚ましい業績だった。,動詞は achieve で、academic achievement は学業成績という意味で使われる。,0,
E28100,1,10,automatic,形容詞,自動の、無意識の,working by itself without direct human control,The instrument takes automatic readings of air pressure every fifteen minutes.,その機器は十五分ごとに気圧を自動で測定する。,反射的で無意識の反応にも使い、副詞 automatically は論理的な帰結も表す。,0,
E28101,1,10,comprehensive,形容詞,包括的な、総合的な,including everything or nearly everything that is relevant,The review offers a comprehensive account of research on memory over fifty years.,その総説は五十年にわたる記憶研究の包括的な説明を提供している。,範囲の広さを表し、comprehensible の理解できるという意味とは別語なので注意する。,0,
E28102,1,10,consent,名詞,同意、承諾,"permission for something to happen, given freely",Participants gave written consent before any of the tests were carried out.,参加者はいずれの検査が行われる前にも書面で同意を与えた。,informed consent は研究倫理の定型表現で、動詞では consent to の形をとる。,0,
E28103,1,10,divorce,名詞,離婚、分離,"the legal ending of a marriage, or a complete separation of two things",Sociologists examined how divorce rates changed as more women entered paid work.,社会学者たちはより多くの女性が有給の仕事に就くにつれて離婚率がどう変わったかを調べた。,比喩的に a divorce between theory and practice のように分離も表す。,0,
E28104,1,10,engage,動詞,従事する、引きつける,"to take part in something, or to attract and hold attention",Many students engage in fieldwork during the second year of the program.,多くの学生はその課程の二年目に野外調査に従事する。,engage in は活動に従事する、be engaged in は状態を表し、TOEIC でも頻出する。,0,
E28105,1,10,extraordinary,形容詞,並外れた、異例の,"very unusual or remarkable, far beyond what is normal",The fossil showed an extraordinary level of detail in the preserved soft tissue.,その化石は保存された軟組織に並外れた水準の細部を示していた。,ordinary の反対で、extraordinary claims require strong evidence という定型句が有名。,0,
E28106,1,10,frequency,名詞,頻度、周波数,"how often something happens, or the number of waves per second",The frequency of severe storms rose over the second half of the century.,激しい嵐の頻度はその世紀の後半にかけて増加した。,統計では頻度、物理では周波数を指し、形容詞は frequent、副詞は frequently。,0,
E28107,1,10,gene,名詞,遺伝子,a part of a cell that carries information passed from parents to offspring,A single gene can influence several different traits in the developing organism.,一つの遺伝子が発生中の生物の複数の異なる形質に影響することがある。,genetic は遺伝の、genome は全遺伝情報を指し、生物学の講義で必須の語である。,0,
